id,c1,c2,c3,c4,c5,c6,c7,c8,v
15,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,227
17,0,0,0,0,0,0,0,0,227
18,0,0,0,0,0,0,0,0,227
19,0,0,0,0,0,0,0,0,227
20,0,0,0,0,0,0,0,0,227
21,0,0,0,0,0,0,0,0,227
22,0,0,0,0,0,0,0,0,227
23,0,0,0,0,0,0,0,0,227
24,0,0,0,0,0,0,0,0,227
25,0,0,0,0,0,0,0,0,227
26,0,0,0,0,0,0,0,0,227
27,0,0,0,0,0,0,0,0,227
28,0,0,0,0,0,0,0,0,227
29,0,0,0,0,0,0,0,0,227
30,0,0,0,0,0,0,0,0,227
31,0,0,0,0,0,0,0,0,227
32,0,0,0,0,0,0,0,0,227
33,0,0,0,0,0,0,0,0,227
34,0,0,0,0,0,0,0,0,227
35,0,0,0,0,0,0,0,0,227
36,0,0,0,0,0,0,0,0,227
37,0,0,0,0,0,0,0,0,227
38,0,0,0,0,0,0,0,0,227
39,0,0,0,0,0,0,0,0,227
40,0,0,0,0,0,0,0,0,227
41,0,0,0,0,0,0,0,0,227
42,0,0,0,0,0,0,0,0,227
43,0,0,0,0,0,0,0,0,227
44,0,0,0,0,0,0,0,0,227
45,0,0,0,0,0,0,0,0,227
46,0,0,0,0,0,0,0,0,227
47,0,0,0,0,0,0,0,0,227
48,0,0,0,0,0,0,0,0,227
49,0,0,0,0,0,0,0,0,227
50,0,0,0,0,0,0,0,0,227
51,0,0,0,0,0,0,0,0,227
52,0,0,0,0,0,0,0,0,227
53,0,0,0,0,0,0,0,0,227
54,0,0,0,0,0,0,0,0,227
55,0,0,0,0,0,0,0,0,227
56,0,0,0,0,0,0,0,0,227
57,0,0,0,0,0,0,0,0,227
58,0,0,0,0,0,0,0,0,227
59,0,0,0,0,0,0,0,0,227
60,0,0,0,0,0,0,0,0,227
61,0,0,0,0,0,0,0,0,227
62,0,0,0,0,0,0,0,0,227
63,0,0,0,0,0,0,0,0,227
64,0,0,0,0,0,0,0,0,227
65,0,0,0,0,0,0,0,0,227
66,0,0,0,0,0,0,0,0,227
67,0,0,0,0,0,0,0,0,227
68,0,0,0,0,0,0,0,0,227
69,0,0,0,0,0,0,0,0,227
70,0,0,0,0,0,0,0,0,227
71,0,0,0,0,0,0,0,0,227
72,0,0,0,0,0,0,0,0,227
73,0,0,0,0,0,0,0,0,227
74,0,0,0,0,0,0,0,0,227
75,0,0,0,0,0,0,0,0,227
76,0,0,0,0,0,0,0,0,227
77,0,0,0,0,0,0,0,0,227
78,0,0,0,0,0,0,0,0,227
79,0,0,0,0,0,0,0,0,227
80,0,0,0,0,0,0,0,0,227
81,0,0,0,0,0,0,0,0,227
82,0,0,0,0,0,0,0,0,227
83,0,0,0,0,0,0,0,0,227
84,0,0,0,0,0,0,0,0,227
85,0,0,0,0,0,0,0,0,227
86,0,0,0,0,0,0,0,0,227
87,0,0,0,0,0,0,0,0,227
88,0,0,0,0,0,0,0,0,227
89,0,0,0,0,0,0,0,0,227
90,0,0,0,0,0,0,0,0,227
91,0,0,0,0,0,0,0,0,227
92,0,0,0,0,0,0,0,0,227
93,0,0,0,0,0,0,0,0,227
94,0,0,0,0,0,0,0,0,227
95,0,0,0,0,0,0,0,0,227
96,0,0,0,0,0,0,0,0,227
97,0,0,0,0,0,0,0,0,227
98,0,0,0,0,0,0,0,0,227
99,0,0,0,0,0,0,0,0,227
100,0,0,0,0,0,0,0,0,227
101,0,0,0,0,0,0,0,0,227
102,0,0,0,0,0,0,0,0,227
103,0,0,0,0,0,0,0,0,227
104,0,0,0,0,0,0,0,0,227
105,0,0,0,0,0,0,0,0,227
106,0,0,0,0,0,0,0,0,227
107,0,0,0,0,0,0,0,0,227
108,0,0,0,0,0,0,0,0,227
109,0,0,0,0,0,0,0,0,227
110,0,0,0,0,0,0,0,0,227
111,0,0,0,0,0,0,0,0,227
112,0,0,0,0,0,0,0,0,227
113,0,0,0,0,0,0,0,0,227
114,0,0,0,0,0,0,0,0,227
115,0,0,0,0,0,0,0,0,227
116,0,0,0,0,0,0,0,0,227
117,0,0,0,0,0,0,0,0,227
118,0,0,0,0,0,0,0,0,227
119,0,0,0,0,0,0,0,0,227
120,0,0,0,0,0,0,0,0,227
121,0,0,0,0,0,0,0,0,227
122,0,0,0,0,0,0,0,0,227
123,0,0,0,0,0,0,0,0,227
124,0,0,0,0,0,0,0,0,227
125,0,0,0,0,0,0,0,0,227
126,0,0,0,0,0,0,0,0,227
127,0,0,0,0,0,0,0,0,227
128,0,0,0,0,0,0,0,0,227
129,0,0,0,0,0,0,0,0,227
130,0,0,0,0,0,0,0,0,227
131,0,0,0,0,0,0,0,0,227
132,0,0,0,0,0,0,0,0,227
133,0,0,0,0,0,0,0,0,227
134,0,0,0,0,0,0,0,0,227
135,0,0,0,0,0,0,0,0,227
136,0,0,0,0,0,0,0,0,227
137,0,0,0,0,0,0,0,0,227
138,0,0,0,0,0,0,0,0,227
139,0,0,0,0,0,0,0,0,227
140,0,0,0,0,0,0,0,0,227
141,0,0,0,0,0,0,0,0,227
142,0,0,0,0,0,0,0,0,227
143,0,0,0,0,0,0,0,0,227
144,0,0,0,0,0,0,0,0,227
145,0,0,0,0,0,0,0,0,227
146,0,0,0,0,0,0,0,0,227
147,0,0,0,0,0,0,0,0,227
148,0,0,0,0,0,0,0,0,227
149,0,0,0,0,0,0,0,0,227
150,0,0,0,0,0,0,0,0,227
151,0,0,0,0,0,0,0,0,227
152,0,0,0,0,0,0,0,0,227
153,0,0,0,0,0,0,0,0,227
154,0,0,0,0,0,0,0,0,227
155,0,0,0,0,0,0,0,0,227
156,0,0,0,0,0,0,0,0,227
157,0,0,0,0,0,0,0,0,227
158,0,0,0,0,0,0,0,0,227
159,0,0,0,0,0,0,0,0,227
160,0,0,0,0,0,0,0,0,227
161,0,0,0,0,0,0,0,0,227
162,0,0,0,0,0,0,0,0,227
163,0,0,0,0,0,0,0,0,227
164,0,0,0,0,0,0,0,0,227
165,0,0,0,0,0,0,0,0,227
166,0,0,0,0,0,0,0,0,227
167,0,0,0,0,0,0,0,0,227
168,0,0,0,0,0,0,0,0,227
169,0,0,0,0,0,0,0,0,227
170,0,0,0,0,0,0,0,0,227
171,0,0,0,0,0,0,0,0,227
172,0,0,0,0,0,0,0,0,227
173,0,0,0,0,0,0,0,0,227
174,0,0,0,0,0,0,0,0,227
175,0,0,0,0,0,0,0,0,227
176,0,0,0,0,0,0,0,0,227
177,0,0,0,0,0,0,0,0,227
178,0,0,0,0,0,0,0,0,227
179,0,0,0,0,0,0,0,0,227
180,0,0,0,0,0,0,0,0,227
181,0,0,0,0,0,0,0,0,227
182,0,0,0,0,0,0,0,0,227
183,0,0,0,0,0,0,0,0,227
184,0,0,0,0,0,0,0,0,227
185,0,0,0,0,0,0,0,0,227
186,0,0,0,0,0,0,0,0,227
187,0,0,0,0,0,0,0,0,227
188,0,0,0,0,0,0,0,0,227
189,0,0,0,0,0,0,0,0,227
190,0,0,0,0,0,0,0,0,227
191,0,0,0,0,0,0,0,0,227
192,0,0,0,0,0,0,0,0,227
193,0,0,0,0,0,0,0,0,227
194,0,0,0,0,0,0,0,0,227
195,0,0,0,0,0,0,0,0,227
196,0,0,0,0,0,0,0,0,227
197,0,0,0,0,0,0,0,0,227
198,0,0,0,0,0,0,0,0,227
199,0,0,0,0,0,0,0,0,227
200,0,0,0,0,0,0,0,0,227
201,0,0,0,0,0,0,0,0,227
202,0,0,0,0,0,0,0,0,227
203,0,0,0,0,0,0,0,0,227
204,0,0,0,0,0,0,0,0,227
205,0,0,0,0,0,0,0,0,227
206,0,0,0,0,0,0,0,0,227
207,0,0,0,0,0,0,0,0,227
208,0,0,0,0,0,0,0,0,227
209,0,0,0,0,0,0,0,0,227
210,0,0,0,0,0,0,0,0,227
